"filename", "language", "XML", "YAML", "C#", "MS SQL", "comment", "blank", "total"
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Materials\Lectures\LectureResult.cs", "C#", 0, 0, 29, 0, 0, 7, 36
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Repositories\BaseRepository.cs", "C#", 0, 0, 10, 0, 0, 3, 13
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Repositories\IRepository.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Repositories\SpecificRepositories\EducationProgramRepository.cs", "C#", 0, 0, 16, 0, 0, 3, 19
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Repositories\SpecificRepositories\LabWorkRepository.cs", "C#", 0, 0, 16, 0, 0, 3, 19
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Repositories\SpecificRepositories\LectureMaterialRepository.cs", "C#", 0, 0, 16, 0, 0, 3, 19
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Repositories\SpecificRepositories\SubjectRepository.cs", "C#", 0, 0, 16, 0, 0, 3, 19
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Repositories\SpecificRepositories\UserRepository.cs", "C#", 0, 0, 16, 0, 0, 3, 19
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Services\EducationProgramService.cs", "C#", 0, 0, 84, 0, 0, 17, 101
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Services\LabWorkService.cs", "C#", 0, 0, 46, 0, 0, 14, 60
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Services\LectureMaterialService.cs", "C#", 0, 0, 41, 0, 0, 12, 53
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Services\SubjectService.cs", "C#", 0, 0, 98, 0, 0, 28, 126
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Services\TermService.cs", "C#", 0, 0, 16, 0, 0, 4, 20
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Services\UserService.cs", "C#", 0, 0, 15, 0, 0, 4, 19
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Subjects\Builders\BaseSubjectBuilder.cs", "C#", 0, 0, 48, 0, 0, 12, 60
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Subjects\Builders\ISubjectBuilder.cs", "C#", 0, 0, 7, 0, 0, 3, 10
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Subjects\CreditSubject.cs", "C#", 0, 0, 98, 0, 0, 32, 130
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Subjects\ExamSubject.cs", "C#", 0, 0, 88, 0, 0, 28, 116
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Subjects\ISubject.cs", "C#", 0, 0, 9, 0, 0, 5, 14
